Name,OpName,FwOps,BwOps,AccOps,Prev,Next,InputShapes,OutputShape,LinearWeightTrainable,LoraRank
mul_1,VECmulu,"[['VECmulu', (8192, 512)]]","[['VECmulu', (8192, 512)]]",[],"{""'model_decoder_layers_0_self_attn_q_proj_lora_b_default""}",{'add_'},"[(4, 2048, 512)]","(4, 2048, 512)",True,0
add_6,VECadd,"[['VECadd', (8192, 512)]]","[['MEM', ((8192, 512),)], ['MEM', ((8192, 512),)]]",[],"{""'model_decoder_layers_0_self_attn_q_proj_base_layer"", ""'mul_1""}",{'to_'},"[(4, 2048, 512), (4, 2048, 512)]","(4, 2048, 512)",True,0
getattr_9,misc,[],[],[],"{""'model_decoder_layers_0_self_attn_q_proj_base_layer""}",{'to_'},"[(4, 2048, 512)]","(1,)",True,0
to_5,misc,[],[],[],"{""'add_6"", ""'getattr_9""}",{'mul_'},"[(4, 2048, 512), (1,)]","(4, 2048, 512)",True,0
mul_2,VECmulu,"[['VECmulu', (8192, 512)]]","[['VECmulu', (8192, 512)]]",[],"{""'to_5""}",{'view_'},"[(4, 2048, 512)]","(4, 2048, 512)",True,0
model_decoder_layers_0_self_attn_k_proj_base_layer,Linear,"[['Linear', (8192, 512, 512)]]","[['Linear', (8192, 512, 512)]]",[],"{""'model_decoder_layers_0_self_attn_layer_norm""}","{'add_', 'getattr_1'}","[(4, 2048, 512)]","(4, 2048, 512)",False,0
model_decoder_layers_0_self_attn_k_proj_lora_a_default_weight,misc,[],[],[],set(),{'getattr_1'},[],"(16, 512)",True,0
getattr_10,misc,[],[],[],"{""'model_decoder_layers_0_self_attn_k_proj_lora_a_default_weight""}",{'to_'},"[(16, 512)]","(1,)",True,0
to_6,misc,[],[],[],"{""'getattr_10"", ""'model_decoder_layers_0_self_attn_layer_norm""}",{'model_decoder_layers_0_self_attn_k_proj_lora_dropout_defaul'},"[(4, 2048, 512), (1,)]","(4, 2048, 512)",True,0
model_decoder_layers_0_self_attn_k_proj_lora_dropout_default,dropout,"[['MEM', ((4, 2048, 512), (4, 2048, 512))]]","[['MEM', ((4, 2048, 512),)], ['MEM', ((4, 2048, 512),)]]",[],"{""'to_6""}",{'model_decoder_layers_0_self_attn_k_proj_lora_a_defaul'},"[(4, 2048, 512)]","(4, 2048, 512)",True,0
model_decoder_layers_0_self_attn_k_proj_lora_a_default,Linear,"[['Linear', (8192, 512, 16)]]","[['Linear', (8192, 16, 512)], ['Linear', (16, 8192, 512)]]","[['VECadd', [1, 8192]], ['VECadd', [1, 16]]]","{""'model_decoder_layers_0_self_attn_k_proj_lora_dropout_default""}",{'model_decoder_layers_0_self_attn_k_proj_lora_b_defaul'},"[(4, 2048, 512)]","(4, 2048, 16)",True,0
model_decoder_layers_0_self_attn_k_proj_lora_b_default,Linear,"[['Linear', (8192, 16, 512)]]","[['Linear', (8192, 512, 16)], ['Linear', (512, 8192, 16)]]","[['VECadd', [1, 8192]], ['VECadd', [1, 512]]]","{""'model_decoder_layers_0_self_attn_k_proj_lora_a_default""}",{'mul_'},"[(4, 2048, 16)]","(4, 2048, 512)",True,0
mul_3,VECmulu,"[['VECmulu', (8192, 512)]]","[['VECmulu', (8192, 512)]]",[],"{""'model_decoder_layers_0_self_attn_k_proj_lora_b_default""}",{'add_'},"[(4, 2048, 512)]","(4, 2048, 512)",True,0
