Name,OpName,FwOps,BwOps,AccOps,Prev,Next,InputShapes,OutputShape,LinearWeightTrainable,LoraRank
getattr_2,misc,[],[],[],"{""'model_decoder_embed_tokens""}","{'t', 'finfo_', 'finf', 'to_'}","[(4, 2048, 2048)]","(1,)",True,0
finfo,misc,[],[],[],"{""'getattr_2""}",{'getattr_'},"[(1,)]","(1,)",True,0
getattr_3,misc,[],[],[],"{""'finfo""}",{'ful'},"[(1,)]","(1,)",True,0
getattr_4,misc,[],[],[],"{""'ones""}","{'ful', 'arang'}","[(4, 2048)]","(1,)",True,0
full,misc,[],[],[],"{""'getitem_4"", ""'getattr_3"", ""'getattr_4""}","{'t', 'size_', 'masked_fill'}","[(1,), (1,), (1,)]","(2048, 2048)",True,0
size_3,misc,[],[],[],"{""'full""}",{'arang'},"[(2048, 2048)]","(1,)",True,0
arange,misc,[],[],[],"{""'size_3"", ""'getattr_4""}","{'add_', 'l'}","[(1,), (1,)]","(2048,)",True,0
add_2,VECaddu,"[['VECaddu', (1, 2048)]]","[['MEM', ((1, 2048),)]]",[],"{""'arange""}",{'view_'},"[(2048,)]","(2048,)",True,0
size_4,misc,[],[],[],"{""'full""}",{'view_'},"[(2048, 2048)]","(1,)",True,0
view_1,misc,[],[],[],"{""'size_4"", ""'add_2""}",{'l'},"[(2048,), (1,)]","(2048, 1)",True,0
lt,misc,[],[],[],"{""'arange"", ""'view_1""}",{'masked_fill'},"[(2048,), (2048, 1)]","(2048, 2048)",True,0
masked_fill_,misc,[],[],[],"{""'lt"", ""'full""}",set(),"[(2048, 2048), (2048, 2048)]","(2048, 2048)",True,0
to,misc,[],[],[],"{""'getattr_2"", ""'full""}",{'getitem_'},"[(2048, 2048), (1,)]","(2048, 2048)",True,0
gt_1,misc,[],[],[],"{""'sub""}",set(),"[(1,)]","(1,)",True,0
getitem_6,getitem,"[['MEM', ((2048, 2048), (1, 1, 2048, 2048))]]","[['MEM', ((2048, 2048),)], ['MEM', ((2048, 2048),)]]",[],"{""'to""}",{'expan'},"[(2048, 2048)]","(1, 1, 2048, 2048)",True,0
add_3,misc,[],[],[],"{""'getitem_4"", ""'sub""}",{'expan'},"[(1,), (1,)]","(1,)",True,0
expand,misc,[],[],[],"{""'add_3"", ""'getitem_5"", ""'getitem_6"", ""'getitem_4""}",{'masked_fill_'},"[(1, 1, 2048, 2048), (1,), (1,), (1,)]","(4, 1, 2048, 2048)",True,0
size_5,misc,[],[],[],"{""'ones""}",{'getitem_'},"[(4, 2048)]","(1,)",True,0
getitem_7,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size_5""}",{'expand_'},"[(1,)]","(1,)",True,0
getitem_8,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size_5""}",{'expand_'},"[(1,)]","(1,)",True,0
getitem_9,getitem,"[['MEM', ((4, 2048), (4, 1, 1, 2048))]]","[['MEM', ((4, 2048),)], ['MEM', ((4, 2048),)]]",[],"{""'ones""}",{'expand_'},"[(4, 2048)]","(4, 1, 1, 2048)",True,0
expand_1,misc,[],[],[],"{""'getitem_8"", ""'getitem_9"", ""'getitem_7"", ""'getitem_4""}",{'to_'},"[(4, 1, 1, 2048), (1,), (1,), (1,)]","(4, 1, 2048, 2048)",True,0
to_1,misc,[],[],[],"{""'getattr_2"", ""'expand_1""}",{'sub_'},"[(4, 1, 2048, 2048), (1,)]","(4, 1, 2048, 2048)",True,0
sub_1,misc,[],[],[],"{""'to_1""}","{'masked_fil', 'to_'}","[(4, 1, 2048, 2048)]","(4, 1, 2048, 2048)",True,0
to_2,misc,[],[],[],"{""'sub_1""}",{'masked_fil'},"[(4, 1, 2048, 2048)]","(4, 1, 2048, 2048)",True,0
finfo_1,misc,[],[],[],"{""'getattr_2""}",{'getattr_'},"[(1,)]","(1,)",True,0
getattr_5,misc,[],[],[],"{""'finfo_1""}",{'masked_fil'},"[(1,)]","(1,)",True,0
masked_fill,misc,[],[],[],"{""'to_2"", ""'getattr_5"", ""'sub_1""}",{'to_'},"[(4, 1, 2048, 2048), (4, 1, 2048, 2048), (1,)]","(4, 1, 2048, 2048)",True,0
getattr_6,misc,[],[],[],"{""'ones""}",{'to_'},"[(4, 2048)]","(1,)",True,0
