Name,OpName,FwOps,BwOps,AccOps,Prev,Next,InputShapes,OutputShape,LinearWeightTrainable,LoraRank
input_ids,misc,[],[],[],set(),"{'vie', 'siz'}",[],"(2, 2048)",True,0
size,misc,[],[],[],"{""'input_ids""}","{'getitem_', 'getite'}","[(2, 2048)]","(1,)",True,0
getitem,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size""}",{'vie'},"[(1,)]","(1,)",True,0
view,misc,[],[],[],"{""'input_ids"", ""'getitem""}",{'model_decoder_embed_token'},"[(2, 2048), (1,)]","(2, 2048)",True,0
model_decoder_embed_tokens,EMBEDDING,"[['MEM', ((2, 2048), (2, 2048, 2048))]]","[['MEM', ((50272, 2048),)], ['MEM', ((50272, 2048),)]]","[['VECadd', [1, 102957056]]]","{""'view""}","{'model_decoder_project_i', 'getattr_'}","[(2, 2048)]","(2, 2048, 2048)",False,0
getitem_1,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size""}",{'one'},"[(1,)]","(1,)",True,0
getitem_2,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size""}",{'ad'},"[(1,)]","(1,)",True,0
add,misc,[],[],[],"{""'getitem_2""}",{'one'},"[(1,)]","(1,)",True,0
getattr_1,misc,[],[],[],"{""'model_decoder_embed_tokens""}",{'one'},"[(2, 2048, 2048)]","(1,)",True,0
ones,misc,[],[],[],"{""'getattr_1"", ""'add"", ""'getitem_1""}","{'getitem_', 'lon', 'size_', 'getattr_'}","[(1,), (1,), (1,)]","(2, 2048)",True,0
getitem_3,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size""}",{'add_'},"[(1,)]","(1,)",True,0
add_1,misc,[],[],[],"{""'getitem_3""}",{'su'},"[(1,)]","(1,)",True,0
size_1,misc,[],[],[],"{""'ones""}",set(),"[(2, 2048)]","(1,)",True,0
getitem_4,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size""}","{'su', 'add_', 'expan', 'ful', 'g', 'expand_'}","[(1,)]","(1,)",True,0
size_2,misc,[],[],[],"{""'ones""}",{'getitem_'},"[(2, 2048)]","(1,)",True,0
getitem_5,getitem,"[['MEM', ((1,), (1,))]]","[['MEM', ((1,),)], ['MEM', ((1,),)]]",[],"{""'size_2""}",{'expan'},"[(1,)]","(1,)",True,0
gt,misc,[],[],[],"{""'getitem_4""}",set(),"[(1,)]","(1,)",True,0
sub,misc,[],[],[],"{""'add_1"", ""'getitem_4""}","{'gt_', 'add_'}","[(1,), (1,)]","(1,)",True,0
getattr_2,misc,[],[],[],"{""'model_decoder_embed_tokens""}","{'t', 'finfo_', 'finf', 'to_'}","[(2, 2048, 2048)]","(1,)",True,0
finfo,misc,[],[],[],"{""'getattr_2""}",{'getattr_'},"[(1,)]","(1,)",True,0
getattr_3,misc,[],[],[],"{""'finfo""}",{'ful'},"[(1,)]","(1,)",True,0
getattr_4,misc,[],[],[],"{""'ones""}","{'arang', 'ful'}","[(2, 2048)]","(1,)",True,0
full,misc,[],[],[],"{""'getattr_3"", ""'getitem_4"", ""'getattr_4""}","{'t', 'masked_fill', 'size_'}","[(1,), (1,), (1,)]","(2048, 2048)",True,0
size_3,misc,[],[],[],"{""'full""}",{'arang'},"[(2048, 2048)]","(1,)",True,0
arange,misc,[],[],[],"{""'size_3"", ""'getattr_4""}","{'add_', 'l'}","[(1,), (1,)]","(2048,)",True,0
add_2,VECaddu,"[['VECaddu', (1, 2048)]]","[['MEM', ((1, 2048),)]]",[],"{""'arange""}",{'view_'},"[(2048,)]","(2048,)",True,0
size_4,misc,[],[],[],"{""'full""}",{'view_'},"[(2048, 2048)]","(1,)",True,0
view_1,misc,[],[],[],"{""'size_4"", ""'add_2""}",{'l'},"[(2048,), (1,)]","(2048, 1)",True,0
lt,misc,[],[],[],"{""'arange"", ""'view_1""}",{'masked_fill'},"[(2048,), (2048, 1)]","(2048, 2048)",True,0
masked_fill_,misc,[],[],[],"{""'full"", ""'lt""}",set(),"[(2048, 2048), (2048, 2048)]","(2048, 2048)",True,0
to,misc,[],[],[],"{""'full"", ""'getattr_2""}",{'getitem_'},"[(2048, 2048), (1,)]","(2048, 2048)",True,0
gt_1,misc,[],[],[],"{""'sub""}",set(),"[(1,)]","(1,)",True,0
getitem_6,getitem,"[['MEM', ((2048, 2048), (1, 1, 2048, 2048))]]","[['MEM', ((2048, 2048),)], ['MEM', ((2048, 2048),)]]",[],"{""'to""}",{'expan'},"[(2048, 2048)]","(1, 1, 2048, 2048)",True,0
