input_shapes,input_contiguous,contiguous,output_shape,dtype,Name,meta,module_path,linear_weight_trainable,lora_rank,_input_nodes,users
[[1024]],[True],True,"(1024,)",torch.int64,add_2,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",model.decoder,True,0,['arange'],[view_1]
"[[1024, 1024]]",[True],True,"(1,)",,size_4,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",model.decoder,True,0,['full'],[view_1]
"[[1024], [1]]","[True, True]",True,"(1024, 1)",torch.int64,view_1,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",model.decoder,True,0,"['add_2', 'size_4']",[lt]
"[[1024], [1024, 1]]","[True, True]",True,"(1024, 1024)",torch.bool,lt,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",model.decoder,True,0,"['arange', 'view_1']",[masked_fill_]
"[[1024, 1024], [1024, 1024]]","[True, True]",True,"(1024, 1024)",torch.float32,masked_fill_,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",model.decoder,True,0,"['full', 'lt']",[]
"[[1024, 1024], [1]]","[True, True]",True,"(1024, 1024)",torch.float32,to,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",model.decoder,True,0,"['full', 'getattr_2']",[getitem_6]
[[1]],[True],True,"(1,)",,gt_1,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",model.decoder,True,0,['sub'],[]
"[[1024, 1024]]",[True],True,"(1, 1, 1024, 1024)",torch.float32,getitem_6,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",model.decoder,True,0,['to'],[expand]
"[[1], [1]]","[True, True]",True,"(1,)",,add_3,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",model.decoder,True,0,"['getitem_4', 'sub']",[expand]
"[[1, 1, 1024, 1024], [1], [1], [1]]","[True, True, True, True]",False,"(2, 1, 1024, 1024)",torch.float32,expand,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",model.decoder,True,0,"['getitem_6', 'getitem_5', 'getitem_4', 'add_3']",[masked_fill_1]
"[[2, 1024]]",[True],True,"(1,)",,size_5,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",model.decoder,True,0,['ones'],"[getitem_7, getitem_8]"
[[1]],[True],True,"(1,)",,getitem_7,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",model.decoder,True,0,['size_5'],[expand_1]
[[1]],[True],True,"(1,)",,getitem_8,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",model.decoder,True,0,['size_5'],[expand_1]
"[[2, 1024]]",[True],True,"(2, 1, 1, 1024)",torch.float32,getitem_9,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",model.decoder,True,0,['ones'],[expand_1]
"[[2, 1, 1, 1024], [1], [1], [1]]","[True, True, True, True]",False,"(2, 1, 1024, 1024)",torch.float32,expand_1,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",model.decoder,True,0,"['getitem_9', 'getitem_7', 'getitem_4', 'getitem_8']",[to_1]
"[[2, 1, 1024, 1024], [1]]","[False, True]",False,"(2, 1, 1024, 1024)",torch.float32,to_1,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",model.decoder,True,0,"['expand_1', 'getattr_2']",[sub_1]
"[[2, 1, 1024, 1024]]",[False],True,"(2, 1, 1024, 1024)",torch.float32,sub_1,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",model.decoder,True,0,['to_1'],"[to_2, masked_fill]"
"[[2, 1, 1024, 1024]]",[True],True,"(2, 1, 1024, 1024)",torch.bool,to_2,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",model.decoder,True,0,['sub_1'],[masked_fill]
[[1]],[True],True,"(1,)",,finfo_1,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",model.decoder,True,0,['getattr_2'],[getattr_5]
[[1]],[True],True,"(1,)",,getattr_5,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",model.decoder,True,0,['finfo_1'],[masked_fill]
"[[2, 1, 1024, 1024], [2, 1, 1024, 1024], [1]]","[True, True, True]",True,"(2, 1, 1024, 1024)",torch.float32,masked_fill,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",model.decoder,True,0,"['sub_1', 'to_2', 'getattr_5']",[to_3]
"[[2, 1024]]",[True],True,"(1,)",,getattr_6,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",model.decoder,True,0,['ones'],[to_3]
"[[2, 1, 1024, 1024], [1]]","[True, True]",True,"(2, 1, 1024, 1024)",torch.float32,to_3,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",model.decoder,True,0,"['masked_fill', 'getattr_6']",[bool_1]
