input_shapes,input_contiguous,contiguous,output_shape,dtype,Name,meta,module_path,linear_weight_trainable,lora_rank,_input_nodes,users
"[[2, 1024, 16]]",[True],True,"(2, 1024, 512)",torch.float32,model_decoder_layers_0_self_attn_q_proj_lora_b_default,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>), 'model.decoder.layers.0.self_attn.q_proj': ('model.decoder.layers.0.self_attn.q_proj', <class 'peft.tuners.lora.layer.Linear'>), 'model.decoder.layers.0.self_attn.q_proj.lora_B.default': ('model.decoder.layers.0.self_attn.q_proj.lora_B.default', <class 'torch.nn.modules.linear.Linear'>)})}",model.decoder.layers.0.self_attn.q_proj.lora_B.default,True,0,['model_decoder_layers_0_self_attn_q_proj_lora_a_default'],[mul_1]
"[[2, 1024, 512]]",[True],True,"(2, 1024, 512)",torch.float32,mul_1,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>), 'model.decoder.layers.0.self_attn.q_proj': ('model.decoder.layers.0.self_attn.q_proj', <class 'peft.tuners.lora.layer.Linear'>)})}",model.decoder.layers.0.self_attn.q_proj,True,0,['model_decoder_layers_0_self_attn_q_proj_lora_b_default'],[add_6]
"[[2, 1024, 512], [2, 1024, 512]]","[True, True]",True,"(2, 1024, 512)",torch.float32,add_6,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>), 'model.decoder.layers.0.self_attn.q_proj': ('model.decoder.layers.0.self_attn.q_proj', <class 'peft.tuners.lora.layer.Linear'>)})}",model.decoder.layers.0.self_attn.q_proj,True,0,"['model_decoder_layers_0_self_attn_q_proj_base_layer', 'mul_1']",[to_5]
"[[2, 1024, 512]]",[True],True,"(1,)",,getattr_9,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>), 'model.decoder.layers.0.self_attn.q_proj': ('model.decoder.layers.0.self_attn.q_proj', <class 'peft.tuners.lora.layer.Linear'>)})}",model.decoder.layers.0.self_attn.q_proj,True,0,['model_decoder_layers_0_self_attn_q_proj_base_layer'],[to_5]
"[[2, 1024, 512], [1]]","[True, True]",True,"(2, 1024, 512)",torch.float32,to_5,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>), 'model.decoder.layers.0.self_attn.q_proj': ('model.decoder.layers.0.self_attn.q_proj', <class 'peft.tuners.lora.layer.Linear'>)})}",model.decoder.layers.0.self_attn.q_proj,True,0,"['add_6', 'getattr_9']",[mul_2]
"[[2, 1024, 512]]",[True],True,"(2, 1024, 512)",torch.float32,mul_2,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>)})}",model.decoder.layers.0.self_attn,True,0,['to_5'],[view_4]
"[[2, 1024, 512]]",[True],True,"(2, 1024, 512)",torch.float32,model_decoder_layers_0_self_attn_k_proj_base_layer,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>), 'model.decoder.layers.0.self_attn.k_proj': ('model.decoder.layers.0.self_attn.k_proj', <class 'peft.tuners.lora.layer.Linear'>), 'model.decoder.layers.0.self_attn.k_proj.base_layer': ('model.decoder.layers.0.self_attn.k_proj.base_layer', <class 'torch.nn.modules.linear.Linear'>)})}",model.decoder.layers.0.self_attn.k_proj.base_layer,False,0,['model_decoder_layers_0_self_attn_layer_norm'],"[add_7, getattr_11]"
[],[],True,"(16, 512)",torch.float32,model_decoder_layers_0_self_attn_k_proj_lora_a_default_weight,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>), 'model.decoder.layers.0.self_attn.k_proj': ('model.decoder.layers.0.self_attn.k_proj', <class 'peft.tuners.lora.layer.Linear'>)})}",model.decoder.layers.0.self_attn.k_proj,True,0,[],[getattr_10]
"[[16, 512]]",[True],True,"(1,)",,getattr_10,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>), 'model.decoder.layers.0.self_attn.k_proj': ('model.decoder.layers.0.self_attn.k_proj', <class 'peft.tuners.lora.layer.Linear'>)})}",model.decoder.layers.0.self_attn.k_proj,True,0,['model_decoder_layers_0_self_attn_k_proj_lora_a_default_weight'],[to_6]
"[[2, 1024, 512], [1]]","[True, True]",True,"(2, 1024, 512)",torch.float32,to_6,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>), 'model.decoder.layers.0.self_attn.k_proj': ('model.decoder.layers.0.self_attn.k_proj', <class 'peft.tuners.lora.layer.Linear'>)})}",model.decoder.layers.0.self_attn.k_proj,True,0,"['model_decoder_layers_0_self_attn_layer_norm', 'getattr_10']",[model_decoder_layers_0_self_attn_k_proj_lora_dropout_default]
"[[2, 1024, 512]]",[True],True,"(2, 1024, 512)",torch.float32,model_decoder_layers_0_self_attn_k_proj_lora_dropout_default,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>), 'model.decoder.layers.0.self_attn.k_proj': ('model.decoder.layers.0.self_attn.k_proj', <class 'peft.tuners.lora.layer.Linear'>), 'model.decoder.layers.0.self_attn.k_proj.lora_dropout.default': ('model.decoder.layers.0.self_attn.k_proj.lora_dropout.default', <class 'torch.nn.modules.linear.Identity'>)})}",model.decoder.layers.0.self_attn.k_proj.lora_dropout.default,True,0,['to_6'],[model_decoder_layers_0_self_attn_k_proj_lora_a_default]
"[[2, 1024, 512]]",[True],True,"(2, 1024, 16)",torch.float32,model_decoder_layers_0_self_attn_k_proj_lora_a_default,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>), 'model.decoder.layers.0.self_attn.k_proj': ('model.decoder.layers.0.self_attn.k_proj', <class 'peft.tuners.lora.layer.Linear'>), 'model.decoder.layers.0.self_attn.k_proj.lora_A.default': ('model.decoder.layers.0.self_attn.k_proj.lora_A.default', <class 'torch.nn.modules.linear.Linear'>)})}",model.decoder.layers.0.self_attn.k_proj.lora_A.default,True,0,['model_decoder_layers_0_self_attn_k_proj_lora_dropout_default'],[model_decoder_layers_0_self_attn_k_proj_lora_b_default]
"[[2, 1024, 16]]",[True],True,"(2, 1024, 512)",torch.float32,model_decoder_layers_0_self_attn_k_proj_lora_b_default,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>), 'model.decoder.layers.0.self_attn.k_proj': ('model.decoder.layers.0.self_attn.k_proj', <class 'peft.tuners.lora.layer.Linear'>), 'model.decoder.layers.0.self_attn.k_proj.lora_B.default': ('model.decoder.layers.0.self_attn.k_proj.lora_B.default', <class 'torch.nn.modules.linear.Linear'>)})}",model.decoder.layers.0.self_attn.k_proj.lora_B.default,True,0,['model_decoder_layers_0_self_attn_k_proj_lora_a_default'],[mul_3]
"[[2, 1024, 512]]",[True],True,"(2, 1024, 512)",torch.float32,mul_3,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>), 'model.decoder.layers.0.self_attn.k_proj': ('model.decoder.layers.0.self_attn.k_proj', <class 'peft.tuners.lora.layer.Linear'>)})}",model.decoder.layers.0.self_attn.k_proj,True,0,['model_decoder_layers_0_self_attn_k_proj_lora_b_default'],[add_7]
"[[2, 1024, 512], [2, 1024, 512]]","[True, True]",True,"(2, 1024, 512)",torch.float32,add_7,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>), 'model.decoder.layers.0.self_attn.k_proj': ('model.decoder.layers.0.self_attn.k_proj', <class 'peft.tuners.lora.layer.Linear'>)})}",model.decoder.layers.0.self_attn.k_proj,True,0,"['model_decoder_layers_0_self_attn_k_proj_base_layer', 'mul_3']",[to_7]
"[[2, 1024, 512]]",[True],True,"(1,)",,getattr_11,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>), 'model.decoder.layers.0.self_attn.k_proj': ('model.decoder.layers.0.self_attn.k_proj', <class 'peft.tuners.lora.layer.Linear'>)})}",model.decoder.layers.0.self_attn.k_proj,True,0,['model_decoder_layers_0_self_attn_k_proj_base_layer'],[to_7]
"[[2, 1024, 512], [1]]","[True, True]",True,"(2, 1024, 512)",torch.float32,to_7,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>), 'model.decoder.layers.0.self_attn.k_proj': ('model.decoder.layers.0.self_attn.k_proj', <class 'peft.tuners.lora.layer.Linear'>)})}",model.decoder.layers.0.self_attn.k_proj,True,0,"['add_7', 'getattr_11']",[view_2]
"[[2, 1024, 512], [1]]","[True, True]",True,"(2, 1024, 8, 64)",torch.float32,view_2,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>)})}",model.decoder.layers.0.self_attn,True,0,"['to_7', 'getitem_11']",[transpose]
"[[2, 1024, 8, 64]]",[True],False,"(2, 8, 1024, 64)",torch.float32,transpose,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>)})}",model.decoder.layers.0.self_attn,True,0,['view_2'],[contiguous]
"[[2, 8, 1024, 64]]",[False],True,"(2, 8, 1024, 64)",torch.float32,contiguous,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>)})}",model.decoder.layers.0.self_attn,True,0,['transpose'],"[view_6, output]"
"[[2, 1024, 512]]",[True],True,"(2, 1024, 512)",torch.float32,model_decoder_layers_0_self_attn_v_proj_base_layer,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>), 'model.decoder.layers.0.self_attn.v_proj': ('model.decoder.layers.0.self_attn.v_proj', <class 'peft.tuners.lora.layer.Linear'>), 'model.decoder.layers.0.self_attn.v_proj.base_layer': ('model.decoder.layers.0.self_attn.v_proj.base_layer', <class 'torch.nn.modules.linear.Linear'>)})}",model.decoder.layers.0.self_attn.v_proj.base_layer,False,0,['model_decoder_layers_0_self_attn_layer_norm'],"[add_8, getattr_13]"
[],[],True,"(16, 512)",torch.float32,model_decoder_layers_0_self_attn_v_proj_lora_a_default_weight,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>), 'model.decoder.layers.0.self_attn.v_proj': ('model.decoder.layers.0.self_attn.v_proj', <class 'peft.tuners.lora.layer.Linear'>)})}",model.decoder.layers.0.self_attn.v_proj,True,0,[],[getattr_12]
"[[16, 512]]",[True],True,"(1,)",,getattr_12,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>), 'model.decoder.layers.0.self_attn.v_proj': ('model.decoder.layers.0.self_attn.v_proj', <class 'peft.tuners.lora.layer.Linear'>)})}",model.decoder.layers.0.self_attn.v_proj,True,0,['model_decoder_layers_0_self_attn_v_proj_lora_a_default_weight'],[to_8]
"[[2, 1024, 512], [1]]","[True, True]",True,"(2, 1024, 512)",torch.float32,to_8,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>), 'model.decoder.layers.0.self_attn.v_proj': ('model.decoder.layers.0.self_attn.v_proj', <class 'peft.tuners.lora.layer.Linear'>)})}",model.decoder.layers.0.self_attn.v_proj,True,0,"['model_decoder_layers_0_self_attn_layer_norm', 'getattr_12']",[model_decoder_layers_0_self_attn_v_proj_lora_dropout_default]
"[[2, 1024, 512]]",[True],True,"(2, 1024, 512)",torch.float32,model_decoder_layers_0_self_attn_v_proj_lora_dropout_default,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>), 'model.decoder.layers.0.self_attn.v_proj': ('model.decoder.layers.0.self_attn.v_proj', <class 'peft.tuners.lora.layer.Linear'>), 'model.decoder.layers.0.self_attn.v_proj.lora_dropout.default': ('model.decoder.layers.0.self_attn.v_proj.lora_dropout.default', <class 'torch.nn.modules.linear.Identity'>)})}",model.decoder.layers.0.self_attn.v_proj.lora_dropout.default,True,0,['to_8'],[model_decoder_layers_0_self_attn_v_proj_lora_a_default]
"[[2, 1024, 512]]",[True],True,"(2, 1024, 16)",torch.float32,model_decoder_layers_0_self_attn_v_proj_lora_a_default,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>), 'model.decoder.layers.0.self_attn.v_proj': ('model.decoder.layers.0.self_attn.v_proj', <class 'peft.tuners.lora.layer.Linear'>), 'model.decoder.layers.0.self_attn.v_proj.lora_A.default': ('model.decoder.layers.0.self_attn.v_proj.lora_A.default', <class 'torch.nn.modules.linear.Linear'>)})}",model.decoder.layers.0.self_attn.v_proj.lora_A.default,True,0,['model_decoder_layers_0_self_attn_v_proj_lora_dropout_default'],[model_decoder_layers_0_self_attn_v_proj_lora_b_default]
"[[2, 1024, 16]]",[True],True,"(2, 1024, 512)",torch.float32,model_decoder_layers_0_self_attn_v_proj_lora_b_default,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>), 'model.decoder.layers.0.self_attn.v_proj': ('model.decoder.layers.0.self_attn.v_proj', <class 'peft.tuners.lora.layer.Linear'>), 'model.decoder.layers.0.self_attn.v_proj.lora_B.default': ('model.decoder.layers.0.self_attn.v_proj.lora_B.default', <class 'torch.nn.modules.linear.Linear'>)})}",model.decoder.layers.0.self_attn.v_proj.lora_B.default,True,0,['model_decoder_layers_0_self_attn_v_proj_lora_a_default'],[mul_4]
"[[2, 1024, 512]]",[True],True,"(2, 1024, 512)",torch.float32,mul_4,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>), 'model.decoder.layers.0.self_attn.v_proj': ('model.decoder.layers.0.self_attn.v_proj', <class 'peft.tuners.lora.layer.Linear'>)})}",model.decoder.layers.0.self_attn.v_proj,True,0,['model_decoder_layers_0_self_attn_v_proj_lora_b_default'],[add_8]
"[[2, 1024, 512], [2, 1024, 512]]","[True, True]",True,"(2, 1024, 512)",torch.float32,add_8,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>), 'model.decoder.layers.0.self_attn.v_proj': ('model.decoder.layers.0.self_attn.v_proj', <class 'peft.tuners.lora.layer.Linear'>)})}",model.decoder.layers.0.self_attn.v_proj,True,0,"['model_decoder_layers_0_self_attn_v_proj_base_layer', 'mul_4']",[to_9]
"[[2, 1024, 512]]",[True],True,"(1,)",,getattr_13,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>), 'model.decoder.layers.0.self_attn.v_proj': ('model.decoder.layers.0.self_attn.v_proj', <class 'peft.tuners.lora.layer.Linear'>)})}",model.decoder.layers.0.self_attn.v_proj,True,0,['model_decoder_layers_0_self_attn_v_proj_base_layer'],[to_9]
"[[2, 1024, 512], [1]]","[True, True]",True,"(2, 1024, 512)",torch.float32,to_9,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>), 'model.decoder.layers.0.self_attn.v_proj': ('model.decoder.layers.0.self_attn.v_proj', <class 'peft.tuners.lora.layer.Linear'>)})}",model.decoder.layers.0.self_attn.v_proj,True,0,"['add_8', 'getattr_13']",[view_3]
"[[2, 1024, 512], [1]]","[True, True]",True,"(2, 1024, 8, 64)",torch.float32,view_3,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>)})}",model.decoder.layers.0.self_attn,True,0,"['to_9', 'getitem_11']",[transpose_1]
"[[2, 1024, 8, 64]]",[True],False,"(2, 8, 1024, 64)",torch.float32,transpose_1,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>)})}",model.decoder.layers.0.self_attn,True,0,['view_3'],[contiguous_1]
"[[2, 8, 1024, 64]]",[False],True,"(2, 8, 1024, 64)",torch.float32,contiguous_1,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>)})}",model.decoder.layers.0.self_attn,True,0,['transpose_1'],"[view_7, output]"
[[1]],[True],True,"(1,)",,mul_5,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>)})}",model.decoder.layers.0.self_attn,True,0,['getitem_11'],"[view_5, view_6, view_7]"
"[[2, 1024, 512], [1], [1]]","[True, True, True]",True,"(2, 1024, 8, 64)",torch.float32,view_4,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>)})}",model.decoder.layers.0.self_attn,True,0,"['mul_2', 'getitem_11', 'getitem_12']",[transpose_2]
"[[2, 1024, 8, 64]]",[True],False,"(2, 8, 1024, 64)",torch.float32,transpose_2,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>)})}",model.decoder.layers.0.self_attn,True,0,['view_4'],[contiguous_2]
"[[2, 8, 1024, 64]]",[False],True,"(2, 8, 1024, 64)",torch.float32,contiguous_2,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>)})}",model.decoder.layers.0.self_attn,True,0,['transpose_2'],[view_5]
