op,target,_input_nodes,_args,_kwargs,users,type,_prev,_next,_erased,_repr_fn,meta,input_shapes,input_contiguous,contiguous,latency,fw_latency,bw_latency,acc_latency,output_shape,dtype,Name
call_function,<built-in function getattr>,{add_68: None},"(add_68, 'device')",{},{zeros_12: None},,add_68,zeros_12,False,,"{'nn_module_stack': OrderedDict([('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('encoder.block.12', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>)])}","[[1, 512, 1024]]",[True],True,0.006348800007253885,0.006348800007253885,0.0,0.0,"(1,)",,getattr_108
call_function,<built-in method zeros of type object at 0x15552dc96d80>,{getattr_108: None},"((1,),)","{'device': getattr_108, 'dtype': torch.int64}","{size_162: None, output: None}",,getattr_108,getattr_109,False,,"{'nn_module_stack': OrderedDict([('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('encoder.block.12', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>)])}",[[1]],[True],True,0.012019200064241887,0.012019200064241887,0.0,0.0,"(1,)",torch.int64,zeros_12
call_function,<built-in function getattr>,{add_68: None},"(add_68, 'dtype')",{},{eq_93: None},,zeros_12,eq_93,False,,"{'nn_module_stack': OrderedDict([('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('encoder.block.12', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>)])}","[[1, 512, 1024]]",[True],True,0.006457599904388189,0.006457599904388189,0.0,0.0,"(1,)",,getattr_109
call_function,<built-in function eq>,{getattr_109: None},"(getattr_109, torch.float16)",{},{},,getattr_109,to_41,False,,"{'nn_module_stack': OrderedDict([('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('encoder.block.12', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>)])}",[[1]],[True],True,0.006412799935787916,0.006412799935787916,0.0,0.0,"(1,)",,eq_93
call_method,to,{add_68: None},"(add_68, torch.float32)",{},{pow_27: None},,eq_93,pow_27,False,,"{'nn_module_stack': OrderedDict([('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('encoder.block.13', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>), ('encoder.block.13.layer.0', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerSelfAttention'>), ('encoder.block.13.layer.0.layer_norm', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerNorm'>)])}","[[1, 512, 1024]]",[True],True,0.006975999940186739,0.006975999940186739,0.0,0.0,"(1, 512, 1024)",torch.float32,to_41
call_method,pow,{to_41: None},"(to_41, 2)",{},{mean_26: None},,to_41,mean_26,False,,"{'nn_module_stack': OrderedDict([('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('encoder.block.13', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>), ('encoder.block.13.layer.0', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerSelfAttention'>), ('encoder.block.13.layer.0.layer_norm', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerNorm'>)])}","[[1, 512, 1024]]",[True],True,0.012198400124907494,0.012198400124907494,0.0,0.0,"(1, 512, 1024)",torch.float32,pow_27
call_method,mean,{pow_27: None},"(pow_27, -1)",{'keepdim': True},{add_69: None},,pow_27,add_69,False,,"{'nn_module_stack': OrderedDict([('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('encoder.block.13', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>), ('encoder.block.13.layer.0', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerSelfAttention'>), ('encoder.block.13.layer.0.layer_norm', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerNorm'>)])}","[[1, 512, 1024]]",[True],True,0.013299199938774108,0.013299199938774108,0.0,0.0,"(1, 512, 1)",torch.float32,mean_26
call_function,<built-in function add>,{mean_26: None},"(mean_26, 1e-06)",{},{rsqrt_26: None},,mean_26,rsqrt_26,False,,"{'nn_module_stack': OrderedDict([('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('encoder.block.13', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>), ('encoder.block.13.layer.0', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerSelfAttention'>), ('encoder.block.13.layer.0.layer_norm', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerNorm'>)])}","[[1, 512, 1]]",[True],True,0.020038400217890738,0.013280000165104866,0.006758400052785873,0.0,"(1, 512, 1)",torch.float32,add_69
call_function,<built-in method rsqrt of type object at 0x15552dc96d80>,{add_69: None},"(add_69,)",{},{mul_79: None},,add_69,mul_79,False,,"{'nn_module_stack': OrderedDict([('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('encoder.block.13', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>), ('encoder.block.13.layer.0', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerSelfAttention'>), ('encoder.block.13.layer.0.layer_norm', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerNorm'>)])}","[[1, 512, 1]]",[True],True,0.03618560060858726,0.012204800173640252,0.023980800434947012,0.0,"(1, 512, 1)",torch.float32,rsqrt_26
call_function,<built-in function mul>,"{add_68: None, rsqrt_26: None}","(add_68, rsqrt_26)",{},{mul_80: None},,rsqrt_26,encoder_block_13_layer_0_layer_norm_weight,False,,"{'nn_module_stack': OrderedDict([('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('encoder.block.13', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>), ('encoder.block.13.layer.0', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerSelfAttention'>), ('encoder.block.13.layer.0.layer_norm', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerNorm'>)])}","[[1, 512, 1024], [1, 512, 1]]","[True, True]",True,0.03168000001460314,0.01288319993764162,0.018796800076961516,0.0,"(1, 512, 1024)",torch.float32,mul_79
