op,target,_input_nodes,_args,_kwargs,users,type,_prev,_next,_erased,_repr_fn,meta,input_shapes,input_contiguous,contiguous,latency,fw_latency,bw_latency,acc_latency,output_shape,dtype,Name
call_method,type_as,"{softmax_77: None, add_261: None}","(softmax_77, add_261)",{},{dropout_57: None},,softmax_77,dropout_57,False,,"{'nn_module_stack': OrderedDict([('decoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('decoder.block.16', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>), ('decoder.block.16.layer.1', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerCrossAttention'>), ('decoder.block.16.layer.1.EncDecAttention', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersAttention'>)])}","[[1, 32, 512, 512], [1, 32, 512, 512]]","[True, True]",True,0.006668800115585327,0.006668800115585327,0,0,"(1, 32, 512, 512)",torch.float32,type_as_57
call_function,<function dropout at 0x15543f934e50>,{type_as_57: None},"(type_as_57,)","{'p': 0.1, 'training': False, 'inplace': False}",{matmul_115: None},,type_as_57,matmul_115,False,,"{'nn_module_stack': OrderedDict([('decoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('decoder.block.16', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>), ('decoder.block.16.layer.1', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerCrossAttention'>), ('decoder.block.16.layer.1.EncDecAttention', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersAttention'>)])}","[[1, 32, 512, 512]]",[True],True,0.008422400057315826,0.008422400057315826,0,0,"(1, 32, 512, 512)",torch.float32,dropout_57
call_function,<built-in method matmul of type object at 0x15552dc96d80>,"{dropout_57: None, transpose_287: None}","(dropout_57, transpose_287)",{},{transpose_289: None},,dropout_57,transpose_289,False,,"{'nn_module_stack': OrderedDict([('decoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('decoder.block.16', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>), ('decoder.block.16.layer.1', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerCrossAttention'>), ('decoder.block.16.layer.1.EncDecAttention', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersAttention'>)])}","[[1, 32, 512, 512], [1, 32, 512, 128]]","[True, False]",True,0.07072640210390091,0.07072640210390091,0,0,"(1, 32, 512, 128)",torch.float32,matmul_115
call_method,transpose,{matmul_115: None},"(matmul_115, 1, 2)",{},{contiguous_57: None},,matmul_115,contiguous_57,False,,"{'nn_module_stack': OrderedDict([('decoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('decoder.block.16', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>), ('decoder.block.16.layer.1', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerCrossAttention'>), ('decoder.block.16.layer.1.EncDecAttention', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersAttention'>)])}","[[1, 32, 512, 128]]",[True],False,0.008159999921917915,0.008159999921917915,0,0,"(1, 512, 32, 128)",torch.float32,transpose_289
call_method,contiguous,{transpose_289: None},"(transpose_289,)",{},{view_233: None},,transpose_289,view_233,False,,"{'nn_module_stack': OrderedDict([('decoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('decoder.block.16', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>), ('decoder.block.16.layer.1', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerCrossAttention'>), ('decoder.block.16.layer.1.EncDecAttention', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersAttention'>)])}","[[1, 512, 32, 128]]",[False],True,0.014489599876105786,0.014489599876105786,0,0,"(1, 512, 32, 128)",torch.float32,contiguous_57
call_method,view,"{contiguous_57: None, getitem_529: None}","(contiguous_57, getitem_529, -1, 4096)",{},{decoder_block_16_layer_1_enc_dec_attention_o: None},,contiguous_57,decoder_block_16_layer_1_enc_dec_attention_o,False,,"{'nn_module_stack': OrderedDict([('decoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('decoder.block.16', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>), ('decoder.block.16.layer.1', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerCrossAttention'>), ('decoder.block.16.layer.1.EncDecAttention', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersAttention'>)])}","[[1, 512, 32, 128], [1]]","[True, True]",True,0.008057600073516368,0.008057600073516368,0,0,"(1, 512, 4096)",torch.float32,view_233
call_module,decoder.block.16.layer.1.EncDecAttention.o,{view_233: None},"(view_233,)",{},{decoder_block_16_layer_1_dropout: None},,view_233,decoder_block_16_layer_1_dropout,False,,"{'nn_module_stack': OrderedDict([('decoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('decoder.block.16', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>), ('decoder.block.16.layer.1', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerCrossAttention'>), ('decoder.block.16.layer.1.EncDecAttention', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersAttention'>), ('decoder.block.16.layer.1.EncDecAttention.o', <class 'torch.nn.modules.linear.Linear'>)])}","[[1, 512, 4096]]",[True],True,0.12070399969816208,0.12070399969816208,0,0,"(1, 512, 1024)",torch.float32,decoder_block_16_layer_1_enc_dec_attention_o
call_module,decoder.block.16.layer.1.dropout,{decoder_block_16_layer_1_enc_dec_attention_o: None},"(decoder_block_16_layer_1_enc_dec_attention_o,)",{},{add_262: None},,decoder_block_16_layer_1_enc_dec_attention_o,add_262,False,,"{'nn_module_stack': OrderedDict([('decoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('decoder.block.16', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>), ('decoder.block.16.layer.1', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerCrossAttention'>), ('decoder.block.16.layer.1.dropout', <class 'torch.nn.modules.dropout.Dropout'>)])}","[[1, 512, 1024]]",[True],True,0.009593600034713745,0.009593600034713745,0,0,"(1, 512, 1024)",torch.float32,decoder_block_16_layer_1_dropout
call_function,<built-in function add>,"{add_259: None, decoder_block_16_layer_1_dropout: None}","(add_259, decoder_block_16_layer_1_dropout)",{},"{getattr_385: None, to_146: None, mul_265: None, add_264: None}",,decoder_block_16_layer_1_dropout,getattr_385,False,,"{'nn_module_stack': OrderedDict([('decoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('decoder.block.16', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>), ('decoder.block.16.layer.1', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerCrossAttention'>)])}","[[1, 512, 1024], [1, 512, 1024]]","[True, True]",True,0.011884799972176553,0.011884799972176553,0,0,"(1, 512, 1024)",torch.float32,add_262
call_function,<built-in function getattr>,{add_262: None},"(add_262, 'dtype')",{},{eq_344: None},,add_262,eq_344,False,,"{'nn_module_stack': OrderedDict([('decoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('decoder.block.16', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>)])}","[[1, 512, 1024]]",[True],True,0.00650879992172122,0.00650879992172122,0,0,"(1,)",,getattr_385
